SenderAddress,SenderName,MessageCount,TotalBodyLengthProxy,AverageAgeDays,AverageAgeYears,OldestReceivedDate,NewestReceivedDate,AttachmentCount
newsletter@examplenews.com,Example News Weekly,842,19345210,2103.4,5.76,2013-11-02,2020-06-14,3
noreply@samplestore.com,Sample Store,617,8734120,987.2,2.7,2018-02-20,2023-09-01,0
updates@demogroup.com,Demo Social Network,410,4123980,412.9,1.13,2021-01-15,2025-03-30,0
alerts@fakebank.com.br,Fake Bank Alerts,305,2987340,1560.8,4.27,2015-06-01,2022-12-19,0
info@testcourse.org,Test Course Platform,198,15230410,3021.5,8.28,2010-04-18,2019-08-07,12
jobs-noreply@joblistsample.com,Sample Job Board,150,6210330,180.6,0.49,2024-11-02,2026-07-20,0
support@mockstreaming.com,Mock Streaming Service,97,3120400,760.3,2.08,2019-05-11,2024-04-02,0
contato@examplecorp.com.br,Example Corp,64,1450200,2890.1,7.91,2011-09-03,2018-10-25,5
noreply@sampletravel.com,Sample Travel Deals,52,2980100,540.7,1.48,2020-07-19,2025-01-30,0
info@demoinstitute.edu,Demo Institute,31,980230,4210.9,11.53,2008-03-14,2019-11-02,89
